fips,x,y
01001,-86.65126,32.50751
01003,-87.76263,30.73270
01005,-85.39294,31.88281
01007,-87.09665,33.03912
01009,-86.53357,34.01290
01011,-85.71317,32.09294
01013,-86.67594,31.74352
01015,-85.84203,33.76224
01017,-85.39388,32.91893
01019,-85.64765,34.23400
01021,-86.66484,32.86550
01023,-88.28592,32.00448
01025,-87.81361,31.58790
01027,-85.81546,33.29456
01029,-85.49455,33.71674
01031,-85.99294,31.39905
01033,-87.59561,34.73654
01035,-86.95147,31.46707
01037,-86.26186,32.92857
01039,-86.44724,31.25820
01041,-86.29663,31.74661
01043,-86.90442,34.08588
01045,-85.60382,31.40937
01047,-87.12772,32.38839
01049,-85.72319,34.52979
01051,-86.15190,32.58758
01053,-87.15806,31.12763
01055,-86.04330,34.02112
01057,-87.73851,33.72058
01059,-87.84456,34.44305
01061,-85.83901,31.09625
01063,-88.00016,32.83566
01065,-87.63819,32.74414
01067,-85.22845,31.54174
01069,-85.28093,31.15619
01071,-86.03201,34.72746
01073,-86.86054,33.54472
01075,-88.09665,33.79292
01077,-87.58445,34.87005
01079,-87.31820,34.55082
01081,-85.36126,32.57776
01083,-87.03223,34.77491
01085,-86.65809,32.18417
01087,-85.72758,32.41378
01089,-86.57222,34.73390
01091,-87.76120,32.26860
01093,-87.91824,34.11813
01095,-86.34538,34.34862
01097,-88.19926,30.65817
01099,-87.38233,31.52865
01101,-86.20386,32.23350
01103,-86.83417,34.49320
01105,-87.28869,32.59118
01107,-88.07266,33.26642
01109,-85.92795,31.83922
01111,-85.46022,33.30463
01113,-85.17884,32.28585
01115,-86.36469,33.69081
01117,-86.67993,33.28243
01119,-88.21733,32.65071
01121,-86.14672,33.40010
01123,-85.79777,32.80018
01125,-87.50007,33.30761
01127,-87.27660,33.75954
01129,-88.18791,31.40677
01131,-87.40051,32.04806
01133,-87.37366,34.14671
02013,-160.97978,55.64101
02016,-175.29879,52.00505
02020,-149.40420,61.12313
02050,-162.31192,60.39161
02060,-156.93713,58.75262
02068,-149.93668,63.53925
02070,-158.20679,59.66039
02090,-146.37023,64.85516
02100,-135.40507,58.92402
02105,-135.69996,58.06472
02110,-134.16110,58.37996
02122,-151.12170,60.04069
02130,-131.02575,55.43253
02150,-153.38406,57.55485
02158,-163.47466,62.11365
02164,-156.59895,58.26980
02170,-149.71191,62.28591
02180,-163.17941,64.81430
02185,-152.16640,69.72082
02188,-158.57904,66.85776
02195,-132.88648,57.09006
02198,-133.59030,55.90126
02220,-135.31141,57.08466
02230,-135.32787,59.58843
02240,-144.00064,63.86710
02261,-144.10431,61.46753
02275,-132.03109,56.26850
02282,-141.16865,59.67563
02290,-153.55243,65.22299
04001,-109.44490,35.23660
04003,-109.74986,31.88034
04005,-112.04241,35.63009
04007,-110.68134,33.74159
04009,-109.95901,33.03909
04011,-109.27167,33.10379
04012,-113.93290,33.67241
04013,-112.76812,33.27676
04015,-113.99416,35.60556
04017,-110.29724,35.28763
04019,-111.78450,31.97035
04021,-111.32620,32.97801
04023,-110.81209,31.52932
04025,-112.44289,34.70726
04027,-113.93637,32.75225
05001,-91.38796,34.25276
05003,-91.79584,33.20198
05005,-92.31723,36.23612
05007,-94.22754,36.29929
05009,-93.09345,36.30660
05011,-92.16675,33.43407
05013,-92.54776,33.53599
05015,-93.55641,36.31044
05017,-91.29476,33.28398
05019,-93.16144,34.05533
05021,-90.41384,36.34957
05023,-92.02123,35.53585
05025,-92.18386,33.88423
05027,-93.23284,33.23618
05029,-92.67641,35.26711
